alfa-romeo,5,TN59BA4243,,,,,,,
aston-martin,4,TN59BA4343,,,,,,,
audi,5,TN642340,,,,,,,
bentley,4,TN42B9090,,,,,,,
bmw,7,TN58AD2245,,,,,,,
cadillac,4,TN59AW3457,,,,,,,
chery,5,TN07E4455,,,,,,,
chevrolet,10,TN11LK2020,,,,,,,
chrysler,5,TN06RR3244,,,,,,,
citroen,5,TN053909,,,,,,,
dacia,5,TN012778,,,,,,,
daewoo,5,TN396767,,,,,,,
daihatsu,4,TN05R0505,,,,,,,
dfm,5,TN01LO33,,,,,,,
dodge,7,TN99OP0455,,,,,,,
ferrari,5,TN86UI8889,,,,,,,
fiat,5,TN77GB7771,,,,,,,
ford,5,TN69RE6666,,,,,,,
geely,5,TN73EE6547,,,,,,,
honda,5,TN82CC1233,,,,,,,
hyundai,5,TN88HI1101,,,,,,,
infiniti,7,TN75GR4646,,,,,,,
isuzu,5,TN79JK3030,,,,,,,
jaguar,5,TN90CV5599,,,,,,,
jeep,5,TN28FF9055,,,,,,,
kia,7,TN11OI9478,,,,,,,
lada,4,TN16LP1970,,,,,,,
lamborghini,2,TN28GH3456,,,,,,,
lancia,5,TN19TY5477,,,,,,,
land-rover,7,TN19TT6767,,,,,,,
maserati,5,TN89G1914,,,,,,,
mazda,53,TN87K99,,,,,,,
mercedes,7,TN45XV9988,,,,,,,
mini,4,TN02NJ778,,,,,,,
mitsubishi,7,TN15YF22,,,,,,,
nissan,5,TN19GH88,,,,,,,
opel,5,TN03BVD9,,,,,,,
peugeot,5,TN12SD76,,,,,,,
porsche,2,TN14A123,,,,,,,
proton,6,TN18AA202,,,,,,,
renault,5,TN09LL34,,,,,,,
rover,5,TN77K0017,,,,,,,
saab,33,TN01WQ2377,,,,,,,
seat,5,TN09SA3030,,,,,,,
skoda,7,TN25Y2525,,,,,,,
smart,2,TN30UI334,,,,,,,
ssangyong,7,TN36T4455,,,,,,,
subaru,3,TN42B2021,,,,,,,
suzuki,5,TN23FF6067,,,,,,,
tata,11,TN32NJ7788,,,,,,,
tofas,4,TN12BH9002,,,,,,,
toyota,8,TN01BI398,,,,,,,
volkswagen,5,TN89DD0092,,,,,,,
volvo,3,TN77GK564,,,,,,,
